GeneName,KPN15_pOXA.48_1,KPN15_pOXA.48_2,KPN15_pOXA.48_3,PF_KPN04.1,PF_KPN04.2,PF_KPN04.3,TC_KPN04.1,TC_KPN04.2,TC_KPN04.3,PF_KPN10.1,PF_KPN10.2,TC_KPN10.1,TC_KPN10.2,PF_KPN07.1,PF_KPN07.2,PF_KPN07.3,TC_KPN07.1,TC_KPN07.2,TC_KPN07.3,PF_KPN15.1,PF_KPN15.2,TC_KPN15.1,TC_KPN15.2,TC_KPN15.3,PF_KPN18.1,PF_KPN18.2,PF_KPN18.3,TC_KPN18.1,TC_KPN18.2,TC_KPN18.3,51485,51486,51487,51488,51489,51490,51491,51492,51493,51494,51495,51496,51461,51462,51463,51464,51465,51466,51467,51468,51469,51470,51471,51472
malE,4664.24295525592,5492.40526275303,5093.28135999081,9129.84905321946,6688.10302577456,5018.1542170228,3752.3341529167,57.4088046845457,668.269453162855,472.374760278815,406.78740163632,4183.55708621314,3116.34183849958,200.750199193626,810.462368462945,720.179294559693,3127.05168037753,11675.2305272452,10092.9997538835,334.639962127315,284.025970517026,221.223441907761,164.919576620125,322.041045842572,54.4788818765366,10386.3770028898,3971.38747655811,3354.22324713329,2951.28679410367,20.4356017363468,127.403751614472,159.662993459654,191.75962765529,154.723651324591,173.86337258592,159.725974020343,144.286554075362,129.273809723083,130.883908869883,128.767355115244,144.524965192466,158.126695526595,119.444980465584,137.112663568691,182.609540576401,142.94612563905,145.937544369418,151.34337797855,84.2593028388524,97.4168673677748,111.944722932496,100.152387311856,110.86704847255,139.399580854115
malF,1168.37895101838,1381.04393928272,1292.80965535213,1762.5139776598,1589.07558288701,1201.46532524418,846.445557630952,15.4459147907098,53.4094494730547,21.4116871813968,22.796997631341,624.57499830642,384.249287488863,14.0684173718873,61.5555937708568,33.1130558968613,397.215602683083,1913.2776546237,1796.65584958845,35.3337399518502,38.0562474722761,33.3167834198436,24.3631192734276,34.3510448898744,4.80696016557676,1504.64278693366,612.948680154488,740.782784145762,637.340719640586,7.08571115481371,95.5528137108536,111.764095421758,175.779658684016,108.306555927213,126.446089153396,111.80818181424,115.429243260289,100.546296451287,101.798595787687,100.152387311856,115.619972153973,129.376387249032,89.5837353491882,106.643182775648,152.174617147001,114.35690051124,116.750035495534,105.940364584985,70.2160856990437,97.4168673677748,83.9585421993719,85.8449034101623,97.0086674134814,111.519664683292
malG,553.209730595824,684.470446902721,567.343355756684,1205.23757879996,988.583717159015,663.817432560785,385.844128834622,7.94616425649233,42.1196471454171,27.1214704297693,24.1314560292732,478.553940919717,250.339503303061,13.5790811154738,77.7977963337215,36.4362299653635,264.074408454123,1191.57965278578,1195.91942252541,23.4086027181008,15.2812731162807,18.9535479010666,16.7226144125302,26.6220597896526,5.12742417661521,867.284768103967,265.603750512666,387.052945969289,342.576798260021,5.64803063064861,79.6273447590447,111.764095421758,159.799689712741,108.306555927213,142.251850297571,111.80818181424,101.000587852753,86.1825398153888,87.2559392465886,85.8449034101623,86.7149791154796,115.001233110251,89.5837353491882,106.643182775648,152.174617147001,100.062287947335,102.156281058593,121.07470238284,56.172868559235,83.5001720295213,69.9654518328099,71.5374195084686,83.1502863544126,97.5797065978809
malK,951.309990060781,1102.02551586895,1139.98692192137,3004.90331638374,2561.64406940475,2488.24988682355,2573.87316746042,17.6779834020841,84.6735174572819,26.243042237712,26.8003728251375,1646.03777348842,830.303090755789,15.9034283334378,56.4946176099642,28.128294794108,938.501900613922,3676.59053374111,3275.92101052161,65.3674189109229,54.513003135963,44.718527079079,32.003624134325,73.1390997446908,5.55470952466648,4104.53571533085,1932.37469421098,2614.85417059086,2110.27307728173,4.10765864047172,79.6273447590447,111.764095421758,159.799689712741,108.306555927213,126.446089153396,111.80818181424,115.429243260289,100.546296451287,101.798595787687,114.45987121355,115.619972153973,129.376387249032,89.5837353491882,106.643182775648,136.957155432301,114.35690051124,102.156281058593,105.940364584985,70.2160856990437,97.4168673677748,83.9585421993719,85.8449034101623,97.0086674134814,111.519664683292
malM,954.681935085365,1307.34503735856,1226.55702525209,4538.94180843504,3369.85823354934,2202.69983194488,1243.39993035389,25.7134304030314,381.769007940729,123.638768032066,118.099568216996,2569.696759396,1245.6627321464,50.7686366028976,301.775415733225,206.867585764262,1414.54238943256,4168.61383151153,3610.33417430067,74.7897495647496,57.3047741860527,58.7856134119018,48.8703990159287,86.593258993225,11.7503470714099,3909.28965836666,1171.25635647062,1504.68978551745,1321.70565015025,11.6041356593326,79.6273447590447,111.764095421758,159.799689712741,108.306555927213,142.251850297571,111.80818181424,101.000587852753,86.1825398153888,87.2559392465886,85.8449034101623,101.167475634726,115.001233110251,89.5837353491882,91.4084423791272,152.174617147001,100.062287947335,102.156281058593,105.940364584985,70.2160856990437,83.5001720295213,83.9585421993719,71.5374195084686,83.1502863544126,97.5797065978809
malT,1894.82235725221,1928.27449550555,1982.94121889422,1113.37710911448,1153.88943937223,1404.91270312168,1581.7025504571,603.819200748962,461.405536667219,1831.30317339146,2135.91187075691,1518.20822090676,1254.40276468068,2070.5040349495,1813.83031663991,1865.36881552319,1219.3569570969,2148.69721840731,2198.67600676689,2293.01249895861,1990.97356466927,2264.06052661959,1919.64080618321,1901.75972271567,1821.19697473151,2980.22154894936,1908.35909171751,3314.53845512548,2964.59553302888,1637.00465969399,175.180158469898,175.629292805619,175.779658684016,170.19601645705,173.86337258592,175.698571422377,158.715209482898,158.001322994879,159.969221952079,157.382322918631,158.977461711713,158.126695526595,164.236848140178,182.816884758254,167.392078861701,157.240738202955,160.53129880636,181.612053574259,154.475388537896,153.083648720789,153.923994032182,171.689806820325,152.442191649757,153.339538939527
map,131.716602522815,122.97558708167,132.284418099748,60.2736358260498,64.8537557651836,64.6528426140365,69.0729891351265,106.335748645869,128.269523368621,48.533157611166,65.0548468991927,75.8957404769467,68.9838282169283,57.2523420003761,56.7300118500057,58.6302853514318,94.0599481617529,65.7068330031533,68.2106272690146,71.8452712354288,73.1737885760366,64.8566717239622,63.8630877995765,65.9826320593003,72.2112238206642,69.1830777188197,72.8179506797478,57.4571161639775,55.699536983284,67.468293169748,111.478282662663,111.764095421758,111.859782798919,108.306555927213,110.640328009222,111.80818181424,101.000587852753,100.546296451287,101.798595787687,100.152387311856,101.167475634726,100.62607897147,89.5837353491882,91.4084423791272,91.3047702882005,85.7676753834299,87.5625266216508,90.8060267871297,98.3025199786612,97.4168673677748,97.9516325659339,100.152387311856,97.0086674134814,97.5797065978809
marA,8.64060912549668,6.69990017492401,8.39199981267185,10.9730936484356,8.48331524067805,9.08678011863946,21.5314804037177,9.01755718995197,45.5934324769979,6.47840791642262,6.89470172264949,11.1496319772834,8.53193652155071,5.62736694875491,4.47249056078883,6.40897856068283,9.82551101689673,15.7983642193374,16.1773877062796,6.47785232450587,7.05289528443726,4.2941631963354,2.88320938147072,10.3053134669623,27.2394409382683,14.2645521069731,38.9978132233445,15.5507836366477,13.8016551816987,6.26417942671937,79.6273447590447,63.8651973838615,79.8998448563707,77.3618256622953,79.0288057208725,79.8629870101715,57.7146216301446,71.8187831794907,58.1706261643924,71.5374195084686,72.262482596233,71.8757706939068,74.6531127909902,60.9389615860848,60.8698468588004,57.17845025562,72.968772184709,60.5373511914198,56.172868559235,69.5834766912677,55.972361466248,57.2299356067749,69.2919052953439,69.6997904270577
marB,6.74389004916814,4.32251624188646,2.2084210033347,0.940550884151623,1.26853312010139,1.76910763371742,1.80864435391229,1.7856548890994,5.03698873079215,0.549017620035815,0.33361459948304,1.17364547129299,2.18500813356787,0.734004384620206,0.470788480083035,0.356054364482379,1.10399000189851,1.91495323870756,1.56944806105697,0.441671749398128,1.17548254740621,0.148074592977083,0.432481407220608,0.28625870741562,1.2818560441538,0.891534506685821,3.19473611151692,1.21174937428424,1.57733202076557,1.95113785422407,79.6273447590447,79.8314967298269,79.8998448563707,77.3618256622953,79.0288057208725,79.8629870101715,57.7146216301446,57.4550265435925,58.1706261643924,57.2299356067749,57.8099860769864,43.1254624163441,59.7224902327921,60.9389615860848,60.8698468588004,57.17845025562,58.3750177477672,60.5373511914198,42.1296514194262,55.6667813530142,41.979271099686,57.2299356067749,55.4335242362751,41.8198742562346
marR,11.3803144579712,5.18701949026375,7.50863141133797,6.11358074698555,7.37334876058933,7.47850045162362,10.2489846721696,9.73181914559173,33.7825623496232,2.52548105216475,4.33698979327952,9.48696755961834,4.57811227985648,4.40402630772124,2.70703376047745,5.2221306790749,6.62394001139105,8.01886668708793,7.96796707921232,4.71116532691336,2.93870636851553,0.444223778931248,0.72080234536768,4.15075125752649,19.3346619993199,4.9925932374406,9.58420833455077,5.04895572618431,6.50649458565796,4.21035010648351,79.6273447590447,63.8651973838615,63.9198758850966,61.8894605298363,79.0288057208725,79.8629870101715,72.1432770376808,71.8187831794907,58.1706261643924,71.5374195084686,72.262482596233,71.8757706939068,74.6531127909902,60.9389615860848,60.8698468588004,71.4730628195249,72.968772184709,60.5373511914198,70.2160856990437,83.5001720295213,55.972361466248,57.2299356067749,69.2919052953439,69.6997904270577
matP,27.6077998887821,35.8768848076576,34.8930518526882,33.5463148680746,28.0662952822433,35.1409107242959,103.695609624305,134.459813149185,33.3483391831756,77.8506985210786,77.8434065460426,35.8939906637106,51.5037631483854,72.5441000132971,72.2660316927459,68.2437531924561,45.2635900778389,47.3950926580122,71.9531572607658,140.157168475673,124.454214706633,93.7312173544933,79.2882579904448,112.213413306923,66.4428716219721,30.0447128753122,38.4469966523933,49.883682574701,25.7302285887383,70.5490371501018,111.478282662663,111.764095421758,95.8798138276449,108.306555927213,110.640328009222,111.80818181424,101.000587852753,100.546296451287,101.798595787687,100.152387311856,101.167475634726,100.62607897147,104.514357907386,106.643182775648,106.522232002901,100.062287947335,102.156281058593,105.940364584985,98.3025199786612,97.4168673677748,111.944722932496,114.45987121355,97.0086674134814,97.5797065978809
mdcA,9.4835953816427,23.1254618940926,12.8088418193412,6.9757523907912,7.92833200063369,9.40843605204262,8.18196255341274,16.6065904686244,9.55290966184718,8.78428192057304,12.8997645133442,6.06383493501379,8.53193652155071,9.78672512826942,8.47419264149463,8.54530474757711,4.63675800797374,8.49760499676482,8.81305449670454,15.9001829783326,18.9546560769251,18.2131749361812,20.6149470775157,18.1774279208919,6.51610155778183,6.5082018988065,11.5671479899751,6.36168421499223,7.98524335512567,4.62111597053068,79.6273447590447,79.8314967298269,63.9198758850966,77.3618256622953,79.0288057208725,63.8903896081372,72.1432770376808,86.1825398153888,72.7132827054905,85.8449034101623,72.262482596233,71.8757706939068,74.6531127909902,76.173701982606,76.0873085735005,71.4730628195249,72.968772184709,75.6716889892748,56.172868559235,83.5001720295213,55.972361466248,57.2299356067749,83.1502863544126,69.6997904270577
mdcC,0.842986256146018,2.37738393303755,2.65010520400164,1.09730936484356,0.872116520069706,0.9649678002095,0.861259216148709,0.8928274445497,1.3026694993428,0.988231716064467,0.889638931954773,0.391215157097664,1.56072009540562,1.22334064103368,1.05927408018683,1.06816309344714,0.883192001518807,0.598422887096114,0.724360643564756,1.47223916466043,0.881611910554658,1.77689511572499,0.864962814441216,0.572517414831239,0.640928022076901,0.178306901337164,1.21179645609263,0.403916458094745,0.788666010382783,0.410765864047172,15.9254689518089,15.9662993459654,0.0,15.4723651324591,0.0,0.0,14.4286554075362,14.3637566358981,14.5426565410981,28.6149678033875,14.4524965192466,14.3751541387814,14.930622558198,15.2347403965212,15.2174617147001,28.58922512781,29.1875088738836,15.134337797855,14.0432171398087,41.7500860147606,13.993090366562,14.3074839016937,27.7167621181375,27.8799161708231
mdcE,3.37194502458407,5.6192711144524,3.75431570566899,3.05679037349277,3.25061612025981,4.26194111759196,4.30629608074355,4.91055094502335,5.99227969697687,5.27056915234382,6.11626765718906,3.12972125678131,4.8902562989376,4.28169224361787,4.59018768080959,4.86607631459252,3.75356600645493,4.66769851934969,4.22543708746108,3.82782182811711,4.70193018962484,4.59031238228956,3.74817219591194,7.2995970390983,3.31146144739732,2.22883626671455,2.97440948313645,2.52447786309216,2.76033103633974,2.25921225225945,47.7764068554268,47.8988980378961,47.9399069138224,30.9447302649181,47.4172834325235,47.9177922061029,43.2859662226085,43.0912699076944,43.6279696232943,57.2299356067749,43.3574895577398,43.1254624163441,44.7918676745941,45.7042211895636,45.6523851441003,57.17845025562,58.3750177477672,45.4030133935649,56.172868559235,69.5834766912677,55.972361466248,57.2299356067749,55.4335242362751,55.7598323416462
mdcH,9.06210225356969,4.97089367816943,5.74189460867021,10.1893012449759,8.8004485207034,8.76512418523629,14.2107770664537,12.1424532458759,23.7954295213284,11.419566496745,10.898076916446,11.9320622914787,11.6533767123619,9.41972293595931,8.70958688153615,10.6816309344714,8.72152101499822,17.4739483032065,14.1250325495127,18.4029895582553,12.3425667477652,12.2901912170979,11.1003561186623,12.3091244188716,7.37067225388436,9.80687957354403,18.0667835271991,14.1370760333161,13.9002384329965,9.03684900903778,47.7764068554268,47.8988980378961,47.9399069138224,46.4170953973772,47.4172834325235,47.9177922061029,57.7146216301446,57.4550265435925,58.1706261643924,71.5374195084686,57.8099860769864,57.5006165551255,59.7224902327921,45.7042211895636,60.8698468588004,57.17845025562,58.3750177477672,60.5373511914198,56.172868559235,69.5834766912677,55.972361466248,57.2299356067749,69.2919052953439,69.6997904270577
mdoC,77.1332424373606,78.6697956023336,71.3319984077107,84.806338054338,95.9328172076676,110.167157190585,46.7663754368749,58.9266113402802,37.6037262143621,120.344662311851,129.776079198902,40.8819839167058,44.9487387476818,172.858032578059,123.228884661734,120.227690406883,38.3084530658783,44.2832936451124,52.8783269802272,165.038010358434,125.335826617187,99.2099772946454,92.8393420833572,115.219129734787,37.3874679544859,34.5915388594099,34.8116072841154,32.818212220198,26.2231448452275,31.8343544636558,95.5528137108536,79.8314967298269,79.8998448563707,92.8341907947544,94.834566865047,95.8355844122058,101.000587852753,100.546296451287,101.798595787687,100.152387311856,101.167475634726,100.62607897147,89.5837353491882,76.173701982606,76.0873085735005,85.7676753834299,87.5625266216508,90.8060267871297,84.2593028388524,97.4168673677748,83.9585421993719,85.8449034101623,97.0086674134814,97.5797065978809
